No,S,T,Typology,FAR,Env_R,E_R,total_inh,n_total,lca_total,solar_sc,solar_au
269,4,2,1,3.531471,3,2,2837,43.94388054,14.13483624,0.929324302,0.243467005
270,3,2,1,3.531471,3,2,3372,43.33320301,14.00887979,0.77791083,0.232793727
271,2,1,7,0,1,1,994,61.79434328,19.09952756,0.483339649,0.310419516
272,1,1,7,0,1,1,1003,66.40255428,18.91982799,0.688245914,0.349964951
273,4,19,6,1.981873,1,1,2056,56.23094822,16.82577199,0.853106989,0.320509624
274,3,19,6,1.981873,1,1,2452,51.45594883,16.58493877,0.609516142,0.296680186
275,4,18,6,0.815402,1,1,1385,60.20145413,17.68976884,0.645046743,0.375182993
276,1,18,6,0.815402,1,1,1440,62.14708291,17.87933271,0.643415152,0.362839222
277,3,18,6,0.815402,1,1,1611,60.52035051,17.9527451,0.544641758,0.342109395
278,2,18,6,0.815402,1,1,1430,57.03264299,17.86174281,0.461603143,0.325851969
279,4,17,6,1.377649,1,1,1689,57.36381808,17.37057261,0.719974032,0.355209876
280,1,17,6,1.377649,1,1,1728,59.32040718,17.60703794,0.717566668,0.336912161
281,3,17,6,1.377649,1,1,1966,56.76021299,17.52199654,0.602787203,0.326687316
282,4,16,5,2.969017,1,1,2649,51.57921626,15.91621719,0.771607584,0.330494007
283,3,16,5,2.969017,1,1,3091,51.374473,15.99101189,0.635478706,0.302093831
284,4,15,5,1.471673,1,1,1752,57.76997558,17.14752168,0.718602679,0.357925141
285,1,15,5,1.471673,1,1,1792,55.45089298,17.02473486,0.637706695,0.344537056
286,3,15,5,1.471673,1,1,2081,56.13875127,17.21780174,0.585125188,0.327602525
287,2,15,5,1.471673,1,1,1788,52.72483739,17.10361116,0.508897733,0.317756181
288,4,14,5,1.699608,1,1,1862,56.5249993,17.04315506,0.77554751,0.3496111
289,1,14,5,1.699608,1,1,1901,55.91166558,17.03283917,0.723654559,0.339606939
290,3,14,5,1.699608,1,1,2194,54.70192336,17.06432979,0.609501121,0.318968589
291,4,13,4,3.461759,1,1,2933,51.71026056,16.64765137,0.769876993,0.328897064
292,3,13,4,3.461759,1,1,3320,51.33347028,16.71319729,0.644050665,0.301165527
293,4,12,4,2.200234,1,1,2196,54.54738152,16.55447637,0.6818362,0.363652126
294,3,12,4,2.200234,1,1,2566,53.56663103,16.62571232,0.546591688,0.327109191
295,4,11,4,2.711107,1,1,2462,52.68200994,17.6893024,0.782356783,0.323021696
296,3,11,4,2.711107,1,1,2832,53.96794942,17.92198214,0.71727328,0.298741903
297,4,10,3,3.098888,1,1,2688,51.02294455,15.76623135,0.705581183,0.340405769
298,3,10,3,3.098888,1,1,3106,52.43237338,15.9565914,0.612940809,0.311511147
299,4,9,3,2.406857,1,1,2240,56.98729623,16.43949655,0.751104057,0.341723417
300,3,9,3,2.406857,1,1,2688,55.74742925,16.46333853,0.627005557,0.322103981
301,4,8,3,1.911589,1,1,1994,57.19156048,16.74484079,0.763511248,0.348699762
302,1,8,3,1.911589,1,1,2068,55.39475178,16.64051762,0.691738331,0.340189719
303,3,8,3,1.911589,1,1,2381,55.65220293,16.77739699,0.624403705,0.323487565
304,4,7,2,3.032621,1,1,2588,57.151328,15.78072215,0.715897095,0.35547079
305,3,7,2,3.032621,1,1,3096,54.96025037,15.73348107,0.555374743,0.329551509
306,4,6,2,2.384204,1,1,2251,56.81411336,16.06598332,0.671050956,0.354687027
307,3,6,2,2.384204,1,1,2615,56.37076294,16.18465902,0.579830216,0.329640523
308,4,5,2,2.783806,1,1,2474,57.63648106,16.21750594,0.724017042,0.344961472
309,3,5,2,2.783806,1,1,2918,56.36974265,16.24029672,0.581357474,0.322417073
310,4,4,1,4.457837,1,1,3308,52.02232737,19.12743123,0.954060842,0.20451721
311,3,4,1,4.457837,1,1,3983,47.85518745,18.85415533,0.865838068,0.232787293
312,4,3,1,5.610568,1,1,4062,49.39137407,16.66985983,0.945421525,0.212196693
